,Price
1500,6630.0
1501,6639.0
1502,6581.0
1503,6284.0
1504,6278.0
1505,6288.0
1506,6335.0
1507,6614.0
1508,6642.0
1509,6609.0
1510,6595.0
1511,6514.0
1512,6526.0
1513,6574.0
1514,6537.0
1515,6511.0
1516,6530.0
1517,6502.0
1518,6493.0
1519,6491.0
1520,6483.0
1521,6406.0
1522,6331.0
1523,6330.0
1524,6361.0
1525,6410.0
1526,6385.0
1527,6414.0
1528,6451.0
1529,6454.0
1530,6547.0
1531,6503.0
1532,6429.0
1533,6424.0
1534,6411.0
1535,6426.0
1536,6405.0
1537,6158.0
1538,5605.0
1539,5612.0
1540,5571.0
1541,5633.0
1542,5285.0
1543,4632.0
1544,4528.0
1545,4541.0
1546,4325.0
1547,4310.0
1548,3850.0
1549,3933.0
1550,3776.0
1551,4118.0
1552,4271.0
1553,4129.0
1554,4140.0
1555,4192.0
1556,4004.0
1557,3981.0
1558,3900.0
1559,3756.0
1560,3415.0
1561,3449.0
1562,3561.0
1563,3554.0
1564,3459.0
1565,3483.0
1566,3433.0
1567,3302.0
1568,3256.0
1569,3298.0
1570,3417.0
1571,3575.0
1572,3813.0
1573,3984.0
1574,4034.0
1575,3919.0
1576,4039.0
1577,4175.0
1578,3829.0
1579,3833.0
1580,3766.0
1581,3746.0
1582,3915.0
1583,3835.0
1584,3804.0
1585,3744.0
1586,3865.0
1587,3874.0
1588,3821.0
1589,3861.0
1590,3925.0
1591,4052.0
1592,4031.0
1593,4036.0
1594,3825.0
1595,3662.0
1596,3648.0
1597,3600.0
1598,3604.0
1599,3661.0
1600,3626.0
1601,3623.0
1602,3637.0
1603,3689.0
1604,3638.0
1605,3558.0
1606,3573.0
1607,3592.0
1608,3576.0
1609,3580.0
1610,3601.0
1611,3578.0
1612,3474.0
1613,3432.0
1614,3464.0
1615,3459.0
1616,3455.0
1617,3459.0
1618,3454.0
1619,3442.0
1620,3446.0
1621,3400.0
1622,3392.0
1623,3481.0
1624,3650.0
1625,3645.0
1626,3637.0
1627,3611.0
1628,3617.0
1629,3601.0
1630,3601.0
1631,3617.0
1632,3620.0
1633,3796.0
1634,3935.0
1635,3943.0
1636,3942.0
1637,3958.0
1638,4006.0
1639,4020.0
1640,3822.0
1641,3823.0
1642,3819.0
1643,3833.0
1644,3837.0
1645,3826.0
1646,3819.0
1647,3746.0
1648,3786.0
1649,3857.0
1650,3884.0
1651,3896.0
1652,3915.0
1653,3916.0
1654,3889.0
1655,3871.0
1656,3871.0
1657,3874.0
1658,3904.0
1659,4006.0
1660,3988.0
1661,3993.0
1662,4003.0
1663,4021.0
1664,4026.0
1665,3999.0
1666,4000.0
1667,3989.0
1668,3974.0
1669,3933.0
1670,4014.0
1671,4032.0
1672,4080.0
1673,4103.0
1674,4103.0
1675,4138.0
1676,4646.0
1677,5028.0
1678,4974.0
1679,4985.0
1680,5048.0
1681,5137.0
1682,5224.0
1683,5200.0
1684,5262.0
1685,5125.0
1686,5043.0
1687,5086.0
1688,5080.0
1689,5125.0
1690,5105.0
1691,5220.0
1692,5265.0
1693,5260.0
1694,5310.0
1695,5281.0
1696,5310.0
1697,5530.0
1698,5487.0
1699,5431.0
1700,5250.0
1701,5252.0
1702,5260.0
1703,5240.0
1704,5265.0
1705,5354.0
1706,5432.0
1707,5704.0
1708,5750.0
1709,5778.0
1710,5712.0
1711,5921.0
1712,5901.0
1713,6085.0
1714,6318.0
1715,6807.0
1716,7158.0
1717,7400.0
1718,7988.0
1719,8047.0
1720,7992.0
1721,7287.0
1722,7328.0
1723,7912.0
1724,7900.0
1725,7938.0
1726,7884.0
1727,7701.0
1728,7975.0
1729,8023.0
1730,8103.0
1731,8767.0
1732,8720.0
1733,8648.0
1734,8636.0
1735,8356.0
1736,8541.0
1737,8662.0
1738,8537.0
1739,7868.0
1740,7778.0
1741,7756.0
1742,7934.0
1743,7938.0
1744,7796.0
1745,7810.0
1746,7884.0
1747,8018.0
1748,8153.0
1749,8337.0
1750,8713.0
1751,9081.0
1752,9225.0
1753,9161.0
1754,9150.0
1755,9339.0
1756,9796.0
1757,10733.0
1758,10780.0
1759,10865.0
1760,11320.0
1761,12668.0
1762,11826.0
1763,11702.0
1764,11867.0
1765,11569.0
1766,10709.0
